"","TitleLong","Week","Title","Vote","Count"
"66"," [Class Action Park (2020, 2:01)]","2021-07-05","ClassActionPark","I do not love this film but would still show up",2
"67"," [Class.Action.Park (2020)]","2021-09-13","ClassActionPark","I do not love this film but would still show up",4
"68"," [Clue (1985, 1:37)]","2021-09-20","Clue","I do not love this film but would still show up",3
"69"," [Clueless (1995, 1:37)]","2021-09-27","Clueless","I do not love this film but would still show up",3
"70"," [Clueless (1995, 1:37)]","2021-10-04","Clueless","I do not love this film but would still show up",2
"71"," [Clueless (1995, 1:37)]","2021-10-11","Clueless","I do not love this film but would still show up",6
"72"," [Cold Comfort Farm (1995, 1:45)]","2021-11-22","ColdComfortFarm","I do not love this film but would still show up",7
"73"," [Come To Daddy (2019, 1:36)]","2021-11-29","ComeToDaddy","I do not love this film but would still show up",3
"74"," [Company (2011, 2:25)]","2021-07-19","Company","I do not love this film but would still show up",5
"75"," [Constantine (2005, 2:00)]","2021-02-15","Constantine","I do not love this film but would still show up",5
"76"," [Constantine (2005, 2:00)]","2021-02-22","Constantine","I do not love this film but would still show up",3
"77"," [Cookie (1989, 1:33)]","2022-01-31","Cookie","I do not love this film but would still show up",6
"78"," [Cookie (1989, 1:33)]","2022-02-07","Cookie","I do not love this film but would still show up",8
"79"," [Cooties (2014, 1:28)]","2021-11-29","Cooties","I do not love this film but would still show up",1
"80"," [Cooties (2014, 1:28)]","2021-12-06","Cooties","I do not love this film but would still show up",1
"81"," [Cornetto III: Did the World Even End Though (2013, 1:49)]","2021-03-15","C3DidTheWorldEvenEndTho","I do not love this film but would still show up",3
"82"," [Corrina Corrina (1994, 1:56)]","2020-11-16","CorrinaCorrina","I do not love this film but would still show up",3
"83"," [Corrina Corrina (1994, 1:56)]","2021-02-15","CorrinaCorrina","I do not love this film but would still show up",8
"84"," [Corvette Summer (1978, 1:45)]","2021-05-10","CorvetteSummer","I do not love this film but would still show up",6
"85"," [Cowboys and Aliens (2011, 2:15)]","2021-08-02","CowboysAndAliens","I do not love this film but would still show up",4
"86"," [Coyote Ugly (2002, 1:48)]","2021-09-27","CoyoteUgly","I do not love this film but would still show up",4
"87"," [Crawl (2019, 1:28)]","2021-12-06","Crawl","I do not love this film but would still show up",4
"88"," [Crocodile Dundee (1986, 1:38)]","2021-09-20","CrocodileDundee","I do not love this film but would still show up",4
"89"," [Cruel Intentions (1999, 1:37)]","2022-01-17","CruelIntentions","I do not love this film but would still show up",5
"90"," [Cruel Intentions (1999, 1:37)]","2022-02-07","CruelIntentions","I do not love this film but would still show up",3
"91"," [Cruella (2021, 2:14)]","2021-07-26","Cruella","I do not love this film but would still show up",5
"92"," [Cruella (2021, 2:14)]","2021-10-11","Cruella","I do not love this film but would still show up",9
"93"," [Cruella (2021, 2:14)]","2021-11-15","Cruella","I do not love this film but would still show up",6
"94"," [Cruella (2021, 2:14)]","2021-11-22","Cruella","I do not love this film but would still show up",7
"95"," [Cry Baby (1990, 1:25)]","2022-01-24","CryBaby","I do not love this film but would still show up",5
"96"," [Dark Star (1974, 1:23)]","2021-03-22","DarkStar","I do not love this film but would still show up",6
"97"," [David Byrne's American Utopia (2020, 1:45)]","2020-12-14","AmericanUtopia","I do not love this film but would still show up",3
"98"," [Dazed and Confused (1993, 2:00)]","2020-12-07","DazedAndConfused","I do not love this film but would still show up",5
"99"," [Death Becomes Her (1992, 1:43)]","2020-10-12","DeathBecomesHer","I do not love this film but would still show up",9
"100"," [Death Becomes Her (1992, 1:43)]","2020-10-19","DeathBecomesHer","I do not love this film but would still show up",12
"101"," [Deathgasam (2015, 1:26)]","2021-10-25","Deathgasm","I do not love this film but would still show up",11
"102"," [Deja Vu (2006, 2:07)]","2022-01-03","DejaVu","I do not love this film but would still show up",8
"103"," [Demolition Man (1993, 1:55)]","2020-11-16","DemolitionMan","I do not love this film but would still show up",3
"104"," [Demolition Man (1993, 1:55)]","2021-04-05","DemolitionMan","I do not love this film but would still show up",4
"105"," [Demolition Man (1993, 1:55)]","2021-09-06","DemolitionMan","I do not love this film but would still show up",12
"106"," [Desert Hearts (1985, 1:32)]","2021-01-25","DesertHearts","I do not love this film but would still show up",6
"107"," [Desert Hearts (1985, 1:32)]","2021-02-01","DesertHearts","I do not love this film but would still show up",6
"108"," [Desperate Living (1997, 1:31)]","2022-01-24","DesperateLiving","I do not love this film but would still show up",8
"109"," [Die Hard (1988, 2:12)]","2020-12-28","DieHard","I do not love this film but would still show up",9
"110"," [Die Hard 2D (1988, 2:12)]","2020-12-28","DieHard2D","I do not love this film but would still show up",6
"111"," [Die Hard but make it Christmas (1988, 2:12)]","2020-12-28","DieHardXmas","I do not love this film but would still show up",9
"112"," [Die Hard but make it spoopy (1988, 2:12)]","2020-12-28","DieHardSpoopy","I do not love this film but would still show up",9
"113"," [Die Hard but replace Hans Gruber with an opossum (1988, 2:12)]","2020-12-28","DieHardHansGruber","I do not love this film but would still show up",3
"114"," [Die Hard Die (1988, 2:12)]","2020-12-28","DieHardDie","I do not love this film but would still show up",8
"115"," [Dir Hard but make it Christmas AND spoopy (1988, 2:12)]","2020-12-28","DieHardXmasSpoop","I do not love this film but would still show up",6
"116"," [Dodgeball: A True Underdog Story (2004, 1:33)]","2021-04-19","Dodgeball","I do not love this film but would still show up",5
"117"," [Dodgeball: A True Underdog Story (2004, 1:33)]","2021-05-03","Dodgeball","I do not love this film but would still show up",3
"118"," [Dodgeball: A True Underdog Story (2004, 1:33)]","2021-05-17","Dodgeball","I do not love this film but would still show up",7
"119"," [Dodgeball: A True Underdog Story (2004, 1:33)]","2021-05-24","Dodgeball","I do not love this film but would still show up",5
"120"," [Dodgeball: A True Underdog Story (2004, 1:33)]","2021-05-31","Dodgeball","I do not love this film but would still show up",7
"121"," [Dogma (1999, 2:08)]","2020-11-30","Dogma","I do not love this film but would still show up",7
"122"," [Dogma (1999, 2:08)]","2021-01-04","Dogma","I do not love this film but would still show up",5
"123"," [Dogma (1999, 2:08)]","2022-01-17","Dogma","I do not love this film but would still show up",7
"124"," [Dolemite Is My Name (2019, 1:58)]","2021-08-02","Dolemite","I do not love this film but would still show up",2
"125"," [Dolemite Is My Name (2019, 1:58)]","2021-08-09","DolemiteIsMyName","I do not love this film but would still show up",7
"126"," [Drag Me To Hell (2009, 1:39)]","2021-10-25","DragMeToHell","I do not love this film but would still show up",10
"127"," [Dragonheart (1996, 1:43]","2021-07-12","Dragonheart","I do not love this film but would still show up",4
"128"," [Dredd (2012, 1:36)]","2020-11-30","Dredd","I do not love this film but would still show up",4
"129"," [Earth Girls are Easy (1988, 1:40)]","2021-08-09","EarthGirlsAreEasy","I do not love this film but would still show up",3
"130"," [Eddie the Eagle (2015, 1:46)]","2021-09-06","EddieTheEagle","I do not love this film but would still show up",7
"131"," [Edge of Tomorrow (2014, 1:53)]","2022-01-03","EdgeOfTmrw","I do not love this film but would still show up",6
"132"," [Elf (2003, 1:37)]","2021-12-20","Elf","I do not love this film but would still show up",6
"133"," [Empire Records (1995, 1:30)]","2020-11-23","EmpireRecords","I do not love this film but would still show up",6
"134"," [Escape from Pretoria (2020, 1:46)]","2021-11-29","EscapeFromPretoria","I do not love this film but would still show up",6
"135"," [F for Fake (1973, 1:29)]","2021-06-07","FForFake","I do not love this film but would still show up",2
"136"," [FAQ about Time Travel (2009, 1:23)]","2022-01-03","FAQAbtTimeTravel","I do not love this film but would still show up",4
"137"," [FAQ about Time Travel (2009, 1:23)]","2022-01-10","FAQTT","I do not love this film but would still show up",7
"138"," [Fast and the Furious (2001, 1:47)]","2020-10-05","FastandFurious","I do not love this film but would still show up",4
"139"," [Fast and the Furious (2001, 1:47)]","2020-11-02","FastAndFurious","I do not love this film but would still show up",4
"140"," [Female Trouble (1974, 1:38)]","2022-01-24","FemaleTrouble","I do not love this film but would still show up",8
"141"," [Frequently Asked Questions about Time Travel (2009, 1:22)]","2020-09-21","FAQaTT","I do not love this film but would still show up",5
"142"," [Frequently Asked Questions about Time Travel (2009, 1:22)]","2020-09-28"," FAQaTT","I do not love this film but would still show up",6
"143"," [Frequently Asked Questions about Time Travel (2009, 1:22)]","2020-10-19","FAQaTT","I do not love this film but would still show up",9
"144"," [Frequently Asked Questions about Time Travel (2009, 1:22)]","2022-02-07","FAQATT","I do not love this film but would still show up",9
"145"," [Fursonas (2016, 1:21)]","2021-07-05","Fursonas","I do not love this film but would still show up",3
"146"," [Get Shorty (1995, 1:45)]","2021-09-06","GetShorty","I do not love this film but would still show up",11
"147"," [Get Shorty (1995, 1:45)]","2021-11-15","GetShorty","I do not love this film but would still show up",7
"148"," [Ghostbusters (2016, 2:13)]","2020-09-28","Ghostbusters","I do not love this film but would still show up",6
"149"," [Ginger Snaps (2000, 1:48)]","2021-10-25","GingerSnaps","I do not love this film but would still show up",7
"150"," [Ginger Snaps (2000, 1:48)]","2021-11-01","GingerSnaps","I do not love this film but would still show up",7
"151"," [God Help the Girl (2014, 1:52)]","2021-07-19","GodHelpTheGirl","I do not love this film but would still show up",3
"152"," [Good Burger (1997, 1:35)]","2021-04-19","GoodBurger","I do not love this film but would still show up",3
"153"," [Grandma's Boy (2006, 1:35)]","2021-04-19","GrandmasBoy","I do not love this film but would still show up",3
"154"," [Gremlins (1984, 1:46)]","2021-12-20","Gremlins","I do not love this film but would still show up",7
"155"," [Gunpowder Milkshake (2021, 1:55)]","2021-10-18","GunpowderMilkshake","I do not love this film but would still show up",7
"156"," [Gunpowder Milkshake (2021, 1:55)]","2021-12-06","GunpowderMilkshake","I do not love this film but would still show up",5
"157"," [Gunpowder Milkshake (2021, 1:55)]","2021-12-13","GunpowderMilkshake","I do not love this film but would still show up",10
"158"," [Gunpowder Milkshake (2021, 1:55)]","2021-12-27","GunpowderMilkshake","I do not love this film but would still show up",7
"159"," [Guns Akimbo (2019, 1:38)]","2021-11-22","GunsAkimbo","I do not love this film but would still show up",6
"160"," [Hairspray (1988, 1:32)]","2022-01-24","Hairspray","I do not love this film but would still show up",4
"161"," [Hairspray (1988, 1:32)]","2022-01-31","Hairspray","I do not love this film but would still show up",5
"162"," [Hairspray (1988, 1:32)]","2022-02-07","Hairspray","I do not love this film but would still show up",5
"163"," [Happy Feet (2006, 1:48)]","2021-05-31","HappyFeet","I do not love this film but would still show up",1
"164"," [Happy People: A Year in the Taiga (2010, 1:34)]","2021-06-07","HappyPeople","I do not love this film but would still show up",7
"165"," [Happy People: A Year in the Taiga (2013, 1:34)]","2021-07-05","HappyPeople","I do not love this film but would still show up",6
"166"," [Harold and Kumar go to White Castle (2004, 1:28)]","2021-04-19","HaroldAndKumar","I do not love this film but would still show up",2
"167"," [Hausu (1977, 1:28)]","2021-10-25","Hausu","I do not love this film but would still show up",7
"168"," [Have a Good Trip (2020, 1:26)]","2021-07-05","HaveAGoodTrip","I do not love this film but would still show up",8
"169"," [Have A Good Trip (2020, 1:26)]","2021-08-16","HaveAGoodTrip","I do not love this film but would still show up",6
"170"," [High Fidelity (2000, 1:54)]","2020-11-30","HighFidelity","I do not love this film but would still show up",6
"171"," [Hocus Pocus (1993, 1:36)]","2020-10-05","HocusPocus","I do not love this film but would still show up",6
"172"," [Home Alone (1990, 1:43)]","2021-12-20","HomeAlone","I do not love this film but would still show up",4
"173"," [Hook (1991, 2:22)]","2021-09-20","Hook","I do not love this film but would still show up",6
"174"," [Hook (1991, 2:22)]","2021-09-27","Hook","I do not love this film but would still show up",3
"175"," [Hopscotch (1980, 1:45)]","2022-01-31","Hopscotch","I do not love this film but would still show up",4
"176"," [Horns (2013, 2:00)]","2021-11-29","Horns","I do not love this film but would still show up",2
"177"," [Hot Fuzz but in a Pub (2013, 1:49)]","2021-03-15","HotFuzzButInAPub","I do not love this film but would still show up",7
"178"," [Hot Rob (2007, 1:28)]","2021-01-04","HotRob","I do not love this film but would still show up",7
"179"," [Hot Rod (2007, 1:28)]","2020-12-14","HotRod","I do not love this film but would still show up",4
"180"," [Howard The Duck (1986, 1:50)]","2021-08-23","HowardTheDuck","I do not love this film but would still show up",6
"181"," [Hunt for the Wilderpeople (2016, 1:41)]","2021-02-08","HuntForWilder","I do not love this film but would still show up",9
"182"," [Hunt for the Wilderpeople (2016, 1:41)]","2021-02-15","HuntForTheWilderpeople","I do not love this film but would still show up",8
"183"," [Hunt for the Wilderpeople (2016, 1:41)]","2021-06-28","HuntForTheWilderpeople","I do not love this film but would still show up",6
"184"," [Hunt for the Wilderpeople (2016, 1:41)]","2021-07-12","HuntForTheWilderpeople","I do not love this film but would still show up",3
"185"," [I Don't Feel at Home in This World Anymore (2017, 1:37)]","2021-11-29","DontFeelAtHome","I do not love this film but would still show up",3
"186"," [Icarus (2017, 2:01)]","2021-06-07","Icarus","I do not love this film but would still show up",7
"187"," [Icarus (2017, 2:01)]","2021-07-05","Icarus","I do not love this film but would still show up",8
"188"," [Icarus (2017, 2:01)]","2021-08-16","Icarus","I do not love this film but would still show up",8
"189"," [In Soviet Russia Hard Dies You (1988, 2:12)]","2020-12-28","SovietRussiaHDY","I do not love this film but would still show up",6
"190"," [Independence Day (1996, 2:34)]","2021-02-08","IndependenceDay","I do not love this film but would still show up",9
"191"," [Independence Day (1996, 2:34)]","2021-05-24","IndependenceDay","I do not love this film but would still show up",2
"192"," [Independence Day (1996, 2:34)]","2021-05-31","IndependenceDay","I do not love this film but would still show up",8
"193"," [Indiana Jones and the Last Crusade (1989, 2:07)]","2021-05-10","IndianaJones","I do not love this film but would still show up",5
"194"," [Into The Woods (2014, 2:05)]","2021-07-19","IntoTheWoods","I do not love this film but would still show up",3
"195"," [It's a Mad Mad Mad Mad World (1963, 3:17)]","2021-03-29","Mad3World","I do not love this film but would still show up",4
"196"," [JCVD (2008, 1:36; French Audio with English Subtitles)]","2020-11-23","JCVD","I do not love this film but would still show up",4
"197"," [Jennifer's Body (2009, 1:47)]","2021-10-18","JennifersBody","I do not love this film but would still show up",5
"198"," [Jennifer's Body (2009, 1:47)]","2021-11-01","JennifersBody","I do not love this film but would still show up",2
"199"," [Jingle Jangle (2020, 2:04)]","2021-12-20","JingleJangle","I do not love this film but would still show up",5
"200"," [Joe Versus the Volcano (1990, 1:42)]","2020-10-19","JoeVsVolcano","I do not love this film but would still show up",12
"201"," [Johnny Mnemonic (1995, 1:37)]","2021-01-11","JohnnyMnemonic","I do not love this film but would still show up",4
"202"," [Johnny Mnemonic (1995, 1:37)]","2021-01-18","JohnnyMnemonic","I do not love this film but would still show up",4
"203"," [Johnny Mnemonic (1995, 1:37)]","2021-02-15","JohnnyMnemonic","I do not love this film but would still show up",5
"204"," [Josie and the Pussycats (2001, 1:38)]","2021-02-01","Josie","I do not love this film but would still show up",5
"205"," [Judge Dredd (1995, 1:36)]","2020-11-09","JudgeDredd","I do not love this film but would still show up",6
"206"," [Jumanji: Welcome To The Jungle (2017, 1:59)]","2020-11-02","Jumanji2","I do not love this film but would still show up",5
"207"," [Jumanji: Welcome To The Jungle (2017, 1:59)]","2020-11-16","Jumanji2","I do not love this film but would still show up",4
"208"," [Jumanji: Welcome To The Jungle (2017, 1:59)]","2020-11-23","Jumanji2","I do not love this film but would still show up",6
"209"," [Jumanji: Welcome To The Jungle (2017, 1:59)]","2020-11-30","Jumanji2","I do not love this film but would still show up",6
"210"," [Jumanji: Welcome To The Jungle (2017, 1:59)]","2020-12-07","Jumanji2","I do not love this film but would still show up",8
"211"," [Jumanji: Welcome To The Jungle (2017, 1:59)]","2020-12-14","Jumanji3","I do not love this film but would still show up",1
"212"," [Karate Kid (1984, 2:07)]","2020-12-14","KarateKid","I do not love this film but would still show up",5
"213"," [Kids in the Hall: Brain Candy (1996, 1:28)]","2021-04-19","BrainCandy","I do not love this film but would still show up",5
"214"," [Labyrinth (1986, 1:41)]","2021-02-15","Labyrinth","I do not love this film but would still show up",9
"215"," [Labyrinth (1986, 1:41)]","2021-06-28","Labyrinth","I do not love this film but would still show up",5
"216"," [Labyrinth (1986, 1:41)]","2021-07-12","Labyrinth","I do not love this film but would still show up",4
"217"," [Lara Croft Tomb Raider: The Cradle of Life (2003, 1:57)]","2021-04-12","TombRaider","I do not love this film but would still show up",6
"218"," [Layer Cake (2004, 1:45)]","2021-12-13","LayerCake","I do not love this film but would still show up",10
"219"," [Le Divorce (2003, 1:57)]","2022-01-31","LeDivorce","I do not love this film but would still show up",5
"220"," [League of Their Own - (1992, 2:08)]","2021-01-18","LeagueOfTheirOwn","I do not love this film but would still show up",4
"221"," [League of Their Own (1992, 2:08)]","2021-01-11","LeagueOfTheirOwn","I do not love this film but would still show up",3
"222"," [League.of.Exotique.Dancers (2015)]","2021-09-13","LeagueOfExotiqueDancers","I do not love this film but would still show up",5
"223"," [Lego Batman (2017, 1:44) -]","2021-02-22","LegoBatman","I do not love this film but would still show up",4
"224"," [Lego Batman (2017, 1:45)]","2021-05-17","LegoBatman","I do not love this film but would still show up",4
"225"," [Lego Batman (2017, 1:45)]","2021-05-24","LegoBatman","I do not love this film but would still show up",3
"226"," [Lego Batman (2017, 1:45)]","2021-05-31","LegoBatman","I do not love this film but would still show up",4
"227"," [Little Shop of Horrors (1986, 1:43)]","2021-11-01","LittleShopOfHorrors","I do not love this film but would still show up",7
"228"," [Lo and Behold: Reveries of the Connected World (2016, 1:34)]","2021-06-07","LoAndBehold","I do not love this film but would still show up",4
"229"," [Lock, Stock, and Two Smoking Barrels (1998, 1:47)]","2021-04-26","LockStockN2SB","I do not love this film but would still show up",5
"230"," [Logan Lucky (2017, 1:59)]","2021-05-03","LoganLucky","I do not love this film but would still show up",5
"231"," [Love Songs (2007, 1:32)]","2021-07-19","LoveSongs","I do not love this film but would still show up",3
"232"," [Magic Mike XXL (2015, 1:55)]","2021-07-26","MagicMike","I do not love this film but would still show up",1
"233"," [Man of the Year (2006, 1:55)]","2020-10-12","ManOfTheYear","I do not love this film but would still show up",7
"234"," [Manborg (2011, 1:02)]","2021-10-25","Manborg","I do not love this film but would still show up",12
"235"," [Manhunter (1986, 2:00)]","2021-12-06","Manhunter","I do not love this film but would still show up",4
"236"," [Mannequin (1987, 1:30)]","2021-03-29","Mannequin","I do not love this film but would still show up",7
"237"," [Margin Call (2011, 1:42)]","2021-02-22","MarginCall","I do not love this film but would still show up",6
"238"," [Married to the Mob (1988, 1:44)]","2020-12-14","MarriedToTheMob","I do not love this film but would still show up",5
"239"," [Matilda (1996, 1:38)]","2020-11-16","Matilda","I do not love this film but would still show up",3
"240"," [Matilda (1996, 1:38)]","2020-11-23","Matilda","I do not love this film but would still show up",6
"241"," [Matilda (1996, 1:38)]","2020-11-30","Matilda","I do not love this film but would still show up",7
"242"," [Matilda (1996, 1:38)]","2021-02-15","Matilda","I do not love this film but would still show up",7
"243"," [Matilda (1996, 1:38)]","2021-12-27","Matilda","I do not love this film but would still show up",5
"244"," [Mean Girls (2004, 1:37)]","2021-11-08","MeanGirls","I do not love this film but would still show up",7
"245"," [Men in Black (1997, 1:38)]","2021-02-01","MenInBlack","I do not love this film but would still show up",5
"246"," [Midnight Sky (2020, 1:59)]","2021-01-04","MidnightSky","I do not love this film but would still show up",5
"247"," [Minority Report (2002, 2:25)]","2021-03-29","MinorityReport","I do not love this film but would still show up",4
"248"," [Minority Report (2002, 2:25)]","2021-04-05","MinorityReport","I do not love this film but would still show up",5
"249"," [Minority Report (2002, 2:25)]","2021-04-12","MinorityReport","I do not love this film but would still show up",6
"250"," [Minority Report (2002, 2:25)]","2021-04-26","MinorityReport","I do not love this film but would still show up",5
"251"," [Minority Report (2002, 2:25)]","2021-06-28","MinorityReport","I do not love this film but would still show up",7
"252"," [Monkey Warfare (2006)]","2021-05-24","MonkeyWarfare","I do not love this film but would still show up",6
"253"," [Mortal Kombat (1995, 1:41)]","2020-11-09","MortalKombat","I do not love this film but would still show up",7
"254"," [Multiple Maniacs (1970, 1:37)]","2022-01-24","MultipleManiacs","I do not love this film but would still show up",6
"255"," [Muppet / Lego Star Wars]","2021-12-20","MuppetsAndLegos","I do not love this film but would still show up",3
"256"," [Muppet Treasure Island (1996, 1:40)]","2021-08-02","MuppetTreasureIsland","I do not love this film but would still show up",4
"257"," [Murderball (2005, 1:26)]","2021-06-07","Murderball","I do not love this film but would still show up",4
"258"," [My Cousin Rachel (2017, 1:46)]","2021-03-01","MyCousinRachel","I do not love this film but would still show up",6
"259"," [My Cousin Vinnie (1992, 1:59)]","2021-04-26","MyCousinVinnie","I do not love this film but would still show up",7
"260"," [My Cousin Vinnie (1992, 1:59)]","2021-05-03","MyCousinVinnie","I do not love this film but would still show up",4
"261"," [My Cousin Vinny (1992, 1:59)]","2021-09-27","MyCousinVinny","I do not love this film but would still show up",6
"262"," [Mystic Pizza (1988, 1:44)]","2021-10-04","MysticPizza","I do not love this film but would still show up",8
"263"," [Night at the Museum (2006, 1:49)]","2021-08-23","NightAtTheMuseum","I do not love this film but would still show up",11
"264"," [Night at the Museum (2006, 1:49)]","2021-10-04","NightAtTheMuseum","I do not love this film but would still show up",8
